TeacherID,CourseID,Enrollments,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,InExpertise
TC00001,CR00005,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,False
TC00001,CR00006,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,False
TC00001,CR00009,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,False
TC00001,CR00010,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,False
TC00001,CR00016,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,False
TC00001,CR00017,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,False
TC00001,CR00019,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,False
TC00001,CR00020,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,False
TC00001,CR00031,5,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,True
TC00001,CR00032,8,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,True
TC00001,CR00033,4,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,True
TC00001,CR00034,4,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,True
TC00001,CR00035,3,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,True
TC00001,CR00051,3,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,False
TC00001,CR00055,1,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,False
TC00002,CR00011,1,Jill Day,32,Female,Digital Marketing,9,4.14,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,False
TC00002,CR00013,3,Jill Day,32,Female,Digital Marketing,9,4.14,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,False
TC00002,CR00014,1,Jill Day,32,Female,Digital Marketing,9,4.14,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,False
TC00002,CR00015,1,Jill Day,32,Female,Digital Marketing,9,4.14,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,False
TC00002,CR00056,15,Jill Day,32,Female,Digital Marketing,9,4.14,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,True
TC00002,CR00057,9,Jill Day,32,Female,Digital Marketing,9,4.14,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,True
TC00002,CR00058,15,Jill Day,32,Female,Digital Marketing,9,4.14,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,True
TC00002,CR00059,16,Jill Day,32,Female,Digital Marketing,9,4.14,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,True
TC00002,CR00060,7,Jill Day,32,Female,Digital Marketing,9,4.14,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,True
TC00003,CR00001,2,Amber Torres,32,Male,Design,4,1.56,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,False
TC00003,CR00003,2,Amber Torres,32,Male,Design,4,1.56,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,False
TC00003,CR00004,1,Amber Torres,32,Male,Design,4,1.56,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,False
TC00003,CR00005,3,Amber Torres,32,Male,Design,4,1.56,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,False
TC00003,CR00006,7,Amber Torres,32,Male,Design,4,1.56,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,True
TC00003,CR00007,19,Amber Torres,32,Male,Design,4,1.56,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,True
TC00003,CR00008,4,Amber Torres,32,Male,Design,4,1.56,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,True
TC00003,CR00009,6,Amber Torres,32,Male,Design,4,1.56,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,True
TC00003,CR00010,7,Amber Torres,32,Male,Design,4,1.56,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,True
TC00003,CR00016,1,Amber Torres,32,Male,Design,4,1.56,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,False
TC00003,CR00018,1,Amber Torres,32,Male,Design,4,1.56,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,False
TC00003,CR00019,2,Amber Torres,32,Male,Design,4,1.56,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,False
TC00003,CR00020,2,Amber Torres,32,Male,Design,4,1.56,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,False
TC00003,CR00028,1,Amber Torres,32,Male,Design,4,1.56,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,False
